iso3,country,hdicode,le_2021,eys_2021,mys_2021,gnipc_2021,ineq_le_2021,gii_2021,mf_2021,co2_prod_2021,lat
JOR,Jordan,High,74.2563,10.64655972,10.44668007,9923.714974,9.261599541,0.471,7.03,2.497997184,31.155333333333335
JPN,Japan,Very High,84.7839,15.22162588,13.36610034,42274.29134,2.510178328,0.083,18.18,8.149938667,36.2455
KAZ,Kazakhstan,Very High,69.3622,15.76500034,12.34756189,23942.81837,7.268719196,0.161,34.41,15.51581435,48.832673
KEN,Kenya,Medium,61.427,10.69855835,6.652,4473.570344,21.01152229,0.506,4.62,0.300273588,0.765
KGZ,Kyrgyzstan,Medium,69.9774,13.1953001,11.37410556,4566.303831,10.48529911,0.37,7.82,1.763865121,41.321666666666665
KHM,Cambodia,Medium,69.5835,11.46772,5.088,4078.697154,15.36655807,0.461,5.7,0.916659614,12.857
KOR,Korea (Republic of),Very High,83.6978,16.52173996,12.51293027,44500.93187,2.827563286,0.067,22.01,11.65622391,36.751999999999995
KWT,Kuwait,Very High,78.6729,15.32443332,7.328022618,52919.76137,5.555344582,0.305,65.32,20.82510746,29.41899175
LAO,Lao People's Democratic Republic,Medium,68.0608,10.13611031,5.374,7699.579617,20.62915993,0.478,9.64,4.652122998,18.9525
LBN,Lebanon,High,75.0472,11.28587,8.718636,9525.831467,5.557227612,0.432,12.4,3.804777564,33.854991583325
LBR,Liberia,Low,60.7472,10.42078972,5.082,1288.74235,30.12607765,0.648,2.71,0.199498545,6.591
LBY,Libya,High,71.9112,12.85428,7.599985,15335.712,7.824037075,0.259,16.08,7.381523009,26.348
LKA,Sri Lanka,High,76.3991,14.13990486,10.82730007,12578.22055,5.198720932,0.383,4.36,0.985665463,7.306
LTU,Lithuania,Very High,73.7201,16.28506088,13.49810028,37931.30359,4.317045212,0.105,40.13,5.069079734,55.58422233333333
LUX,Luxembourg,Very High,82.6287,14.39813995,13.01519217,84649.47467,3.870309591,0.044,45.47,13.05892539,49.696996142857145
LVA,Latvia,Very High,73.5786,16.20252991,13.25271988,32803.23423,4.207252502,0.151,31.04,3.590715291,56.929
MAR,Morocco,Medium,74.0419,14.15190983,5.916,7302.81917,10.91862392,0.425,6.95,1.74845085,32.08475
MDA,Moldova (Republic of),High,68.8459,14.43299961,11.82159042,14875.33189,8.885082245,0.205,3.41,1.275891722,47.173249999999996
MDG,Madagascar,Low,64.4853,10.13499142,5.120468534,1483.520983,23.65509796,0.556,1.51,0.132880633,-19.686999999999998
MEX,Mexico,High,70.2127,14.86443996,9.221050262,17896.29498,9.496991158,0.309,10.85,2.76863785,25.1574592
MKD,North Macedonia,High,73.8415,13.62443234,10.22815037,15917.75283,4.415046215,0.134,12.29,3.430253041,41.634287266659996
MLI,Mali,Low,58.9414,7.423037617,2.31,2132.629443,32.81034851,0.613,4.57,0.167400521,15.87725
MLT,Malta,Very High,83.7769,16.83856964,12.21026039,38884.45623,3.227544308,0.167,40.67,3.612105729,35.880011111099996
